PATTERN: 0xff00
PING 172.217.31.206 (172.217.31.206) 56(84) bytes of data.
64 bytes from 172.217.31.206: icmp_seq=84 ttl=128 time=70.5 ms
64 bytes from 172.217.31.206: icmp_seq=85 ttl=128 time=71.8 ms
64 bytes from 172.217.31.206: icmp_seq=86 ttl=128 time=78.3 ms
64 bytes from 172.217.31.206: icmp_seq=87 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=88 ttl=128 time=68.2 ms
64 bytes from 172.217.31.206: icmp_seq=89 ttl=128 time=69.0 ms
64 bytes from 172.217.31.206: icmp_seq=90 ttl=128 time=68.2 ms
64 bytes from 172.217.31.206: icmp_seq=91 ttl=128 time=70.7 ms
64 bytes from 172.217.31.206: icmp_seq=92 ttl=128 time=68.7 ms
64 bytes from 172.217.31.206: icmp_seq=93 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=94 ttl=128 time=69.6 ms
64 bytes from 172.217.31.206: icmp_seq=95 ttl=128 time=69.4 ms
64 bytes from 172.217.31.206: icmp_seq=96 ttl=128 time=75.4 ms
64 bytes from 172.217.31.206: icmp_seq=97 ttl=128 time=75.1 ms
64 bytes from 172.217.31.206: icmp_seq=98 ttl=128 time=74.1 ms
64 bytes from 172.217.31.206: icmp_seq=99 ttl=128 time=70.2 ms
64 bytes from 172.217.31.206: icmp_seq=100 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=101 ttl=128 time=72.8 ms
64 bytes from 172.217.31.206: icmp_seq=102 ttl=128 time=69.8 ms
64 bytes from 172.217.31.206: icmp_seq=103 ttl=128 time=85.6 ms
64 bytes from 172.217.31.206: icmp_seq=104 ttl=128 time=68.8 ms
64 bytes from 172.217.31.206: icmp_seq=106 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=108 ttl=128 time=70.0 ms
64 bytes from 172.217.31.206: icmp_seq=111 ttl=128 time=68.1 ms
64 bytes from 172.217.31.206: icmp_seq=112 ttl=128 time=73.5 ms
64 bytes from 172.217.31.206: icmp_seq=113 ttl=128 time=77.4 ms
64 bytes from 172.217.31.206: icmp_seq=114 ttl=128 time=68.2 ms
64 bytes from 172.217.31.206: icmp_seq=116 ttl=128 time=77.8 ms
64 bytes from 172.217.31.206: icmp_seq=117 ttl=128 time=75.3 ms
64 bytes from 172.217.31.206: icmp_seq=118 ttl=128 time=67.9 ms
64 bytes from 172.217.31.206: icmp_seq=119 ttl=128 time=75.5 ms
64 bytes from 172.217.31.206: icmp_seq=121 ttl=128 time=73.2 ms
64 bytes from 172.217.31.206: icmp_seq=122 ttl=128 time=68.2 ms
64 bytes from 172.217.31.206: icmp_seq=124 ttl=128 time=68.4 ms
64 bytes from 172.217.31.206: icmp_seq=125 ttl=128 time=74.6 ms
64 bytes from 172.217.31.206: icmp_seq=126 ttl=128 time=69.5 ms
64 bytes from 172.217.31.206: icmp_seq=127 ttl=128 time=74.2 ms
64 bytes from 172.217.31.206: icmp_seq=128 ttl=128 time=73.8 ms
64 bytes from 172.217.31.206: icmp_seq=129 ttl=128 time=79.8 ms
64 bytes from 172.217.31.206: icmp_seq=130 ttl=128 time=72.3 ms
64 bytes from 172.217.31.206: icmp_seq=131 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=132 ttl=128 time=82.6 ms
64 bytes from 172.217.31.206: icmp_seq=133 ttl=128 time=81.4 ms
64 bytes from 172.217.31.206: icmp_seq=134 ttl=128 time=72.5 ms
64 bytes from 172.217.31.206: icmp_seq=135 ttl=128 time=86.9 ms
64 bytes from 172.217.31.206: icmp_seq=136 ttl=128 time=70.7 ms
64 bytes from 172.217.31.206: icmp_seq=137 ttl=128 time=67.2 ms
64 bytes from 172.217.31.206: icmp_seq=138 ttl=128 time=67.9 ms
64 bytes from 172.217.31.206: icmp_seq=139 ttl=128 time=74.6 ms
64 bytes from 172.217.31.206: icmp_seq=140 ttl=128 time=68.4 ms
64 bytes from 172.217.31.206: icmp_seq=141 ttl=128 time=78.3 ms
64 bytes from 172.217.31.206: icmp_seq=142 ttl=128 time=68.8 ms
64 bytes from 172.217.31.206: icmp_seq=143 ttl=128 time=80.3 ms
64 bytes from 172.217.31.206: icmp_seq=144 ttl=128 time=69.3 ms
64 bytes from 172.217.31.206: icmp_seq=145 ttl=128 time=72.8 ms
64 bytes from 172.217.31.206: icmp_seq=146 ttl=128 time=70.4 ms
64 bytes from 172.217.31.206: icmp_seq=147 ttl=128 time=73.4 ms
64 bytes from 172.217.31.206: icmp_seq=148 ttl=128 time=73.6 ms
64 bytes from 172.217.31.206: icmp_seq=149 ttl=128 time=70.8 ms
64 bytes from 172.217.31.206: icmp_seq=150 ttl=128 time=70.3 ms
64 bytes from 172.217.31.206: icmp_seq=151 ttl=128 time=87.1 ms
64 bytes from 172.217.31.206: icmp_seq=153 ttl=128 time=214 ms
64 bytes from 172.217.31.206: icmp_seq=154 ttl=128 time=67.8 ms
64 bytes from 172.217.31.206: icmp_seq=155 ttl=128 time=69.0 ms
64 bytes from 172.217.31.206: icmp_seq=156 ttl=128 time=70.1 ms
64 bytes from 172.217.31.206: icmp_seq=157 ttl=128 time=78.8 ms
64 bytes from 172.217.31.206: icmp_seq=158 ttl=128 time=79.3 ms
64 bytes from 172.217.31.206: icmp_seq=159 ttl=128 time=72.6 ms
64 bytes from 172.217.31.206: icmp_seq=160 ttl=128 time=68.6 ms
64 bytes from 172.217.31.206: icmp_seq=161 ttl=128 time=75.6 ms
64 bytes from 172.217.31.206: icmp_seq=162 ttl=128 time=69.5 ms
64 bytes from 172.217.31.206: icmp_seq=163 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=164 ttl=128 time=68.4 ms
64 bytes from 172.217.31.206: icmp_seq=165 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=166 ttl=128 time=70.6 ms
64 bytes from 172.217.31.206: icmp_seq=167 ttl=128 time=75.2 ms
64 bytes from 172.217.31.206: icmp_seq=168 ttl=128 time=67.4 ms
64 bytes from 172.217.31.206: icmp_seq=169 ttl=128 time=69.4 ms
64 bytes from 172.217.31.206: icmp_seq=170 ttl=128 time=68.7 ms
64 bytes from 172.217.31.206: icmp_seq=172 ttl=128 time=71.2 ms
