PING 172.217.31.206 (172.217.31.206) 56(84) bytes of data.
64 bytes from 172.217.31.206: icmp_seq=92 ttl=128 time=346 ms
64 bytes from 172.217.31.206: icmp_seq=93 ttl=128 time=557 ms
64 bytes from 172.217.31.206: icmp_seq=94 ttl=128 time=250 ms
64 bytes from 172.217.31.206: icmp_seq=96 ttl=128 time=524 ms
64 bytes from 172.217.31.206: icmp_seq=98 ttl=128 time=484 ms
64 bytes from 172.217.31.206: icmp_seq=100 ttl=128 time=465 ms
64 bytes from 172.217.31.206: icmp_seq=101 ttl=128 time=391 ms
64 bytes from 172.217.31.206: icmp_seq=102 ttl=128 time=263 ms
64 bytes from 172.217.31.206: icmp_seq=103 ttl=128 time=208 ms
64 bytes from 172.217.31.206: icmp_seq=104 ttl=128 time=1192 ms
64 bytes from 172.217.31.206: icmp_seq=105 ttl=128 time=362 ms
64 bytes from 172.217.31.206: icmp_seq=107 ttl=128 time=446 ms
64 bytes from 172.217.31.206: icmp_seq=108 ttl=128 time=463 ms
64 bytes from 172.217.31.206: icmp_seq=109 ttl=128 time=602 ms
64 bytes from 172.217.31.206: icmp_seq=110 ttl=128 time=671 ms
64 bytes from 172.217.31.206: icmp_seq=111 ttl=128 time=754 ms
64 bytes from 172.217.31.206: icmp_seq=113 ttl=128 time=583 ms
64 bytes from 172.217.31.206: icmp_seq=114 ttl=128 time=421 ms
64 bytes from 172.217.31.206: icmp_seq=118 ttl=128 time=354 ms
64 bytes from 172.217.31.206: icmp_seq=119 ttl=128 time=230 ms
64 bytes from 172.217.31.206: icmp_seq=121 ttl=128 time=396 ms
64 bytes from 172.217.31.206: icmp_seq=122 ttl=128 time=479 ms
64 bytes from 172.217.31.206: icmp_seq=123 ttl=128 time=373 ms
64 bytes from 172.217.31.206: icmp_seq=124 ttl=128 time=634 ms
64 bytes from 172.217.31.206: icmp_seq=127 ttl=128 time=458 ms
64 bytes from 172.217.31.206: icmp_seq=128 ttl=128 time=577 ms
64 bytes from 172.217.31.206: icmp_seq=129 ttl=128 time=1098 ms
64 bytes from 172.217.31.206: icmp_seq=130 ttl=128 time=741 ms
64 bytes from 172.217.31.206: icmp_seq=131 ttl=128 time=552 ms
64 bytes from 172.217.31.206: icmp_seq=132 ttl=128 time=389 ms
64 bytes from 172.217.31.206: icmp_seq=133 ttl=128 time=238 ms
64 bytes from 172.217.31.206: icmp_seq=134 ttl=128 time=103 ms
64 bytes from 172.217.31.206: icmp_seq=135 ttl=128 time=77.8 ms
64 bytes from 172.217.31.206: icmp_seq=136 ttl=128 time=77.2 ms
64 bytes from 172.217.31.206: icmp_seq=137 ttl=128 time=105 ms
64 bytes from 172.217.31.206: icmp_seq=138 ttl=128 time=86.5 ms
64 bytes from 172.217.31.206: icmp_seq=139 ttl=128 time=85.2 ms
64 bytes from 172.217.31.206: icmp_seq=140 ttl=128 time=284 ms
64 bytes from 172.217.31.206: icmp_seq=141 ttl=128 time=280 ms
64 bytes from 172.217.31.206: icmp_seq=142 ttl=128 time=115 ms
64 bytes from 172.217.31.206: icmp_seq=143 ttl=128 time=141 ms
64 bytes from 172.217.31.206: icmp_seq=145 ttl=128 time=137 ms
64 bytes from 172.217.31.206: icmp_seq=146 ttl=128 time=109 ms
64 bytes from 172.217.31.206: icmp_seq=147 ttl=128 time=164 ms
64 bytes from 172.217.31.206: icmp_seq=148 ttl=128 time=219 ms
64 bytes from 172.217.31.206: icmp_seq=149 ttl=128 time=90.0 ms
64 bytes from 172.217.31.206: icmp_seq=150 ttl=128 time=232 ms
64 bytes from 172.217.31.206: icmp_seq=151 ttl=128 time=381 ms
64 bytes from 172.217.31.206: icmp_seq=152 ttl=128 time=171 ms
64 bytes from 172.217.31.206: icmp_seq=154 ttl=128 time=90.2 ms
64 bytes from 172.217.31.206: icmp_seq=155 ttl=128 time=93.3 ms
64 bytes from 172.217.31.206: icmp_seq=156 ttl=128 time=292 ms
64 bytes from 172.217.31.206: icmp_seq=158 ttl=128 time=103 ms
64 bytes from 172.217.31.206: icmp_seq=159 ttl=128 time=150 ms
64 bytes from 172.217.31.206: icmp_seq=160 ttl=128 time=121 ms
64 bytes from 172.217.31.206: icmp_seq=161 ttl=128 time=76.5 ms
64 bytes from 172.217.31.206: icmp_seq=162 ttl=128 time=84.1 ms
64 bytes from 172.217.31.206: icmp_seq=163 ttl=128 time=71.0 ms
64 bytes from 172.217.31.206: icmp_seq=164 ttl=128 time=77.2 ms
64 bytes from 172.217.31.206: icmp_seq=165 ttl=128 time=78.3 ms
64 bytes from 172.217.31.206: icmp_seq=166 ttl=128 time=74.8 ms
64 bytes from 172.217.31.206: icmp_seq=167 ttl=128 time=68.8 ms
64 bytes from 172.217.31.206: icmp_seq=169 ttl=128 time=71.7 ms
64 bytes from 172.217.31.206: icmp_seq=170 ttl=128 time=88.8 ms
64 bytes from 172.217.31.206: icmp_seq=171 ttl=128 time=73.8 ms
64 bytes from 172.217.31.206: icmp_seq=172 ttl=128 time=76.6 ms
64 bytes from 172.217.31.206: icmp_seq=173 ttl=128 time=81.5 ms
64 bytes from 172.217.31.206: icmp_seq=174 ttl=128 time=505 ms
64 bytes from 172.217.31.206: icmp_seq=176 ttl=128 time=425 ms
64 bytes from 172.217.31.206: icmp_seq=177 ttl=128 time=280 ms
64 bytes from 172.217.31.206: icmp_seq=178 ttl=128 time=220 ms
64 bytes from 172.217.31.206: icmp_seq=179 ttl=128 time=211 ms
64 bytes from 172.217.31.206: icmp_seq=180 ttl=128 time=167 ms
64 bytes from 172.217.31.206: icmp_seq=181 ttl=128 time=72.8 ms
64 bytes from 172.217.31.206: icmp_seq=182 ttl=128 time=71.9 ms
64 bytes from 172.217.31.206: icmp_seq=183 ttl=128 time=76.8 ms
64 bytes from 172.217.31.206: icmp_seq=184 ttl=128 time=84.5 ms
64 bytes from 172.217.31.206: icmp_seq=185 ttl=128 time=67.5 ms
64 bytes from 172.217.31.206: icmp_seq=186 ttl=128 time=71.5 ms
64 bytes from 172.217.31.206: icmp_seq=187 ttl=128 time=74.1 ms
64 bytes from 172.217.31.206: icmp_seq=188 ttl=128 time=67.2 ms
64 bytes from 172.217.31.206: icmp_seq=190 ttl=128 time=73.9 ms
64 bytes from 172.217.31.206: icmp_seq=191 ttl=128 time=391 ms
64 bytes from 172.217.31.206: icmp_seq=192 ttl=128 time=90.0 ms
64 bytes from 172.217.31.206: icmp_seq=194 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=195 ttl=128 time=71.2 ms
64 bytes from 172.217.31.206: icmp_seq=196 ttl=128 time=78.7 ms
64 bytes from 172.217.31.206: icmp_seq=197 ttl=128 time=73.6 ms
64 bytes from 172.217.31.206: icmp_seq=198 ttl=128 time=71.0 ms
64 bytes from 172.217.31.206: icmp_seq=199 ttl=128 time=76.7 ms
64 bytes from 172.217.31.206: icmp_seq=200 ttl=128 time=92.9 ms
64 bytes from 172.217.31.206: icmp_seq=202 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=203 ttl=128 time=81.8 ms
64 bytes from 172.217.31.206: icmp_seq=204 ttl=128 time=71.4 ms
64 bytes from 172.217.31.206: icmp_seq=205 ttl=128 time=72.7 ms
64 bytes from 172.217.31.206: icmp_seq=206 ttl=128 time=67.1 ms
64 bytes from 172.217.31.206: icmp_seq=207 ttl=128 time=72.7 ms
64 bytes from 172.217.31.206: icmp_seq=208 ttl=128 time=72.5 ms
64 bytes from 172.217.31.206: icmp_seq=209 ttl=128 time=119 ms
64 bytes from 172.217.31.206: icmp_seq=210 ttl=128 time=68.8 ms
64 bytes from 172.217.31.206: icmp_seq=211 ttl=128 time=67.2 ms
64 bytes from 172.217.31.206: icmp_seq=212 ttl=128 time=81.3 ms
64 bytes from 172.217.31.206: icmp_seq=213 ttl=128 time=291 ms
64 bytes from 172.217.31.206: icmp_seq=214 ttl=128 time=120 ms
64 bytes from 172.217.31.206: icmp_seq=215 ttl=128 time=161 ms
64 bytes from 172.217.31.206: icmp_seq=216 ttl=128 time=71.3 ms
64 bytes from 172.217.31.206: icmp_seq=217 ttl=128 time=81.5 ms
64 bytes from 172.217.31.206: icmp_seq=218 ttl=128 time=76.9 ms
64 bytes from 172.217.31.206: icmp_seq=219 ttl=128 time=83.5 ms
64 bytes from 172.217.31.206: icmp_seq=220 ttl=128 time=107 ms
64 bytes from 172.217.31.206: icmp_seq=221 ttl=128 time=147 ms
64 bytes from 172.217.31.206: icmp_seq=222 ttl=128 time=84.2 ms
64 bytes from 172.217.31.206: icmp_seq=223 ttl=128 time=74.7 ms
64 bytes from 172.217.31.206: icmp_seq=224 ttl=128 time=72.8 ms
64 bytes from 172.217.31.206: icmp_seq=226 ttl=128 time=69.1 ms
64 bytes from 172.217.31.206: icmp_seq=227 ttl=128 time=70.2 ms
64 bytes from 172.217.31.206: icmp_seq=228 ttl=128 time=91.7 ms
64 bytes from 172.217.31.206: icmp_seq=229 ttl=128 time=71.9 ms
64 bytes from 172.217.31.206: icmp_seq=230 ttl=128 time=70.9 ms
64 bytes from 172.217.31.206: icmp_seq=231 ttl=128 time=69.8 ms
64 bytes from 172.217.31.206: icmp_seq=232 ttl=128 time=67.6 ms
64 bytes from 172.217.31.206: icmp_seq=233 ttl=128 time=77.0 ms
64 bytes from 172.217.31.206: icmp_seq=234 ttl=128 time=71.1 ms
64 bytes from 172.217.31.206: icmp_seq=235 ttl=128 time=73.7 ms
64 bytes from 172.217.31.206: icmp_seq=236 ttl=128 time=71.2 ms
64 bytes from 172.217.31.206: icmp_seq=237 ttl=128 time=84.8 ms
64 bytes from 172.217.31.206: icmp_seq=238 ttl=128 time=77.3 ms
64 bytes from 172.217.31.206: icmp_seq=239 ttl=128 time=73.4 ms
64 bytes from 172.217.31.206: icmp_seq=240 ttl=128 time=68.7 ms
64 bytes from 172.217.31.206: icmp_seq=241 ttl=128 time=75.4 ms
64 bytes from 172.217.31.206: icmp_seq=242 ttl=128 time=81.6 ms
64 bytes from 172.217.31.206: icmp_seq=243 ttl=128 time=86.4 ms
64 bytes from 172.217.31.206: icmp_seq=244 ttl=128 time=114 ms
64 bytes from 172.217.31.206: icmp_seq=245 ttl=128 time=85.7 ms
64 bytes from 172.217.31.206: icmp_seq=246 ttl=128 time=82.7 ms
64 bytes from 172.217.31.206: icmp_seq=247 ttl=128 time=71.7 ms
64 bytes from 172.217.31.206: icmp_seq=248 ttl=128 time=73.9 ms
64 bytes from 172.217.31.206: icmp_seq=249 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=250 ttl=128 time=75.7 ms
64 bytes from 172.217.31.206: icmp_seq=251 ttl=128 time=84.7 ms
64 bytes from 172.217.31.206: icmp_seq=252 ttl=128 time=69.1 ms
64 bytes from 172.217.31.206: icmp_seq=253 ttl=128 time=166 ms
64 bytes from 172.217.31.206: icmp_seq=254 ttl=128 time=75.6 ms
64 bytes from 172.217.31.206: icmp_seq=255 ttl=128 time=91.2 ms
64 bytes from 172.217.31.206: icmp_seq=256 ttl=128 time=113 ms
64 bytes from 172.217.31.206: icmp_seq=257 ttl=128 time=799 ms
64 bytes from 172.217.31.206: icmp_seq=258 ttl=128 time=70.3 ms
64 bytes from 172.217.31.206: icmp_seq=259 ttl=128 time=76.2 ms
64 bytes from 172.217.31.206: icmp_seq=260 ttl=128 time=69.9 ms
64 bytes from 172.217.31.206: icmp_seq=261 ttl=128 time=75.7 ms
64 bytes from 172.217.31.206: icmp_seq=262 ttl=128 time=258 ms
64 bytes from 172.217.31.206: icmp_seq=263 ttl=128 time=286 ms
64 bytes from 172.217.31.206: icmp_seq=264 ttl=128 time=269 ms
64 bytes from 172.217.31.206: icmp_seq=265 ttl=128 time=235 ms
64 bytes from 172.217.31.206: icmp_seq=266 ttl=128 time=69.8 ms
64 bytes from 172.217.31.206: icmp_seq=267 ttl=128 time=73.8 ms
64 bytes from 172.217.31.206: icmp_seq=268 ttl=128 time=75.0 ms
64 bytes from 172.217.31.206: icmp_seq=269 ttl=128 time=71.5 ms
64 bytes from 172.217.31.206: icmp_seq=270 ttl=128 time=77.6 ms
64 bytes from 172.217.31.206: icmp_seq=272 ttl=128 time=68.0 ms
64 bytes from 172.217.31.206: icmp_seq=273 ttl=128 time=80.4 ms
64 bytes from 172.217.31.206: icmp_seq=274 ttl=128 time=68.7 ms
64 bytes from 172.217.31.206: icmp_seq=275 ttl=128 time=67.5 ms
64 bytes from 172.217.31.206: icmp_seq=276 ttl=128 time=73.3 ms
64 bytes from 172.217.31.206: icmp_seq=277 ttl=128 time=67.8 ms
64 bytes from 172.217.31.206: icmp_seq=278 ttl=128 time=68.5 ms
64 bytes from 172.217.31.206: icmp_seq=279 ttl=128 time=70.7 ms
64 bytes from 172.217.31.206: icmp_seq=280 ttl=128 time=68.9 ms
64 bytes from 172.217.31.206: icmp_seq=281 ttl=128 time=67.4 ms
64 bytes from 172.217.31.206: icmp_seq=282 ttl=128 time=71.8 ms
64 bytes from 172.217.31.206: icmp_seq=283 ttl=128 time=68.2 ms
64 bytes from 172.217.31.206: icmp_seq=284 ttl=128 time=71.0 ms
